split,model,layer,duration,duration_val,language,test_split,metric,score
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,f1,52.84
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,per,149.83
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,pnmi,52.33
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,r_val,-13.34
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,f1,51.67
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,per,165.59
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,pnmi,54.35
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,r_val,-27.85
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,f1,51.53
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,per,154.51
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,pnmi,54.21
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,r_val,-21.71
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,f1,59.39
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,per,123.51
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,pnmi,48.36
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,r_val,11.91
dev,HuBERT MMS-ulab,11,10min,10,deu,dev,f1,60.66
dev,HuBERT MMS-ulab,11,10min,10,deu,dev,per,111.57
dev,HuBERT MMS-ulab,11,10min,10,deu,dev,pnmi,52.63
dev,HuBERT MMS-ulab,11,10min,10,deu,dev,r_val,18.05
dev,HuBERT MMS-ulab,11,1h,60,deu,dev,f1,61.37
dev,HuBERT MMS-ulab,11,1h,60,deu,dev,per,113.92
dev,HuBERT MMS-ulab,11,1h,60,deu,dev,pnmi,52.11
dev,HuBERT MMS-ulab,11,1h,60,deu,dev,r_val,17.59
dev,HuBERT MMS-ulab,12,10h,600,eng,test,f1,61.41
dev,HuBERT MMS-ulab,12,10h,600,eng,test,per,114.34
dev,HuBERT MMS-ulab,12,10h,600,eng,test,pnmi,52.45
dev,HuBERT MMS-ulab,12,10h,600,eng,test,r_val,22.09
dev,HuBERT MMS-ulab,11,10min,10,eng,test,f1,59.83
dev,HuBERT MMS-ulab,11,10min,10,eng,test,per,123.8
dev,HuBERT MMS-ulab,11,10min,10,eng,test,pnmi,51.3
dev,HuBERT MMS-ulab,11,10min,10,eng,test,r_val,13.88
dev,HuBERT MMS-ulab,11,1h,60,eng,test,f1,60.71
dev,HuBERT MMS-ulab,11,1h,60,eng,test,per,118.28
dev,HuBERT MMS-ulab,11,1h,60,eng,test,pnmi,53.45
dev,HuBERT MMS-ulab,11,1h,60,eng,test,r_val,16.7
dev,HuBERT MMS-ulab,12,10h,600,eus,test,f1,63.8
dev,HuBERT MMS-ulab,12,10h,600,eus,test,per,90.66
dev,HuBERT MMS-ulab,12,10h,600,eus,test,pnmi,59.94
dev,HuBERT MMS-ulab,12,10h,600,eus,test,r_val,29.31
dev,HuBERT MMS-ulab,11,10min,10,eus,test,f1,60.76
dev,HuBERT MMS-ulab,11,10min,10,eus,test,per,111.33
dev,HuBERT MMS-ulab,11,10min,10,eus,test,pnmi,56.8
dev,HuBERT MMS-ulab,11,10min,10,eus,test,r_val,11.45
dev,HuBERT MMS-ulab,11,1h,60,eus,test,f1,63.66
dev,HuBERT MMS-ulab,11,1h,60,eus,test,per,92.62
dev,HuBERT MMS-ulab,11,1h,60,eus,test,pnmi,60.66
dev,HuBERT MMS-ulab,11,1h,60,eus,test,r_val,26.27
dev,HuBERT MMS-ulab,12,10h,600,fra,test,f1,59.01
dev,HuBERT MMS-ulab,12,10h,600,fra,test,per,111.15
dev,HuBERT MMS-ulab,12,10h,600,fra,test,pnmi,50.79
dev,HuBERT MMS-ulab,12,10h,600,fra,test,r_val,16.63
dev,HuBERT MMS-ulab,11,10min,10,fra,test,f1,59.75
dev,HuBERT MMS-ulab,11,10min,10,fra,test,per,109.47
dev,HuBERT MMS-ulab,11,10min,10,fra,test,pnmi,53.22
dev,HuBERT MMS-ulab,11,10min,10,fra,test,r_val,15.73
dev,HuBERT MMS-ulab,11,1h,60,fra,test,f1,59.42
dev,HuBERT MMS-ulab,11,1h,60,fra,test,per,108.35
dev,HuBERT MMS-ulab,11,1h,60,fra,test,pnmi,52.78
dev,HuBERT MMS-ulab,11,1h,60,fra,test,r_val,16.67
dev,HuBERT MMS-ulab,12,10h,600,jpn,test,f1,65.57
dev,HuBERT MMS-ulab,12,10h,600,jpn,test,per,91.76
dev,HuBERT MMS-ulab,12,10h,600,jpn,test,pnmi,56.06
dev,HuBERT MMS-ulab,12,10h,600,jpn,test,r_val,36.4
dev,HuBERT MMS-ulab,11,10min,10,jpn,test,f1,63.07
dev,HuBERT MMS-ulab,11,10min,10,jpn,test,per,104.26
dev,HuBERT MMS-ulab,11,10min,10,jpn,test,pnmi,55.56
dev,HuBERT MMS-ulab,11,10min,10,jpn,test,r_val,23.94
dev,HuBERT MMS-ulab,11,1h,60,jpn,test,f1,64.42
dev,HuBERT MMS-ulab,11,1h,60,jpn,test,per,95.22
