split,model,layer,duration,duration_val,test_split,metric,score
dev,HuBERT MMS-ulab,12,10h,600,test,f1,60.37
dev,HuBERT MMS-ulab,12,10h,600,test,per,110.04
dev,HuBERT MMS-ulab,12,10h,600,test,pnmi,54.07
dev,HuBERT MMS-ulab,12,10h,600,test,r_val,18.85
dev,HuBERT MMS-ulab,11,10min,10,test,f1,58.97
dev,HuBERT MMS-ulab,11,10min,10,test,per,120.92
dev,HuBERT MMS-ulab,11,10min,10,test,pnmi,54.3
dev,HuBERT MMS-ulab,11,10min,10,test,r_val,8.35
dev,HuBERT MMS-ulab,11,1h,60,test,f1,59.84
dev,HuBERT MMS-ulab,11,1h,60,test,per,112.95
dev,HuBERT MMS-ulab,11,1h,60,test,pnmi,55.35
dev,HuBERT MMS-ulab,11,1h,60,test,r_val,14.15
dev,HuBERT MMS-ulab,12,10h,600,dev,f1,58.3
dev,HuBERT MMS-ulab,12,10h,600,dev,per,112.25
dev,HuBERT MMS-ulab,12,10h,600,dev,pnmi,52.38
dev,HuBERT MMS-ulab,12,10h,600,dev,r_val,17.41
dev,HuBERT MMS-ulab,11,10min,10,dev,f1,57.71
dev,HuBERT MMS-ulab,11,10min,10,dev,per,122.17
dev,HuBERT MMS-ulab,11,10min,10,dev,pnmi,52.9
dev,HuBERT MMS-ulab,11,10min,10,dev,r_val,8.74
dev,HuBERT MMS-ulab,11,1h,60,dev,f1,58.73
dev,HuBERT MMS-ulab,11,1h,60,dev,per,115.49
dev,HuBERT MMS-ulab,11,1h,60,dev,pnmi,53.91
dev,HuBERT MMS-ulab,11,1h,60,dev,r_val,13.57
dev,HuBERT MMS-ulab,12,0,1,test,f1,58.77
dev,HuBERT MMS-ulab,12,0,1,test,per,124.13
dev,HuBERT MMS-ulab,12,0,1,test,pnmi,50.5
dev,HuBERT MMS-ulab,12,0,1,test,r_val,9.84
dev,HuBERT MMS-ulab,12,0,1,dev,f1,57.97
dev,HuBERT MMS-ulab,12,0,1,dev,per,118.16
dev,HuBERT MMS-ulab,12,0,1,dev,pnmi,49.65
dev,HuBERT MMS-ulab,12,0,1,dev,r_val,15.11
dev,HuBERT VP-20,11,10h,600,test,f1,62.18
dev,HuBERT VP-20,11,10h,600,test,per,95.89
dev,HuBERT VP-20,11,10h,600,test,pnmi,57.18
dev,HuBERT VP-20,11,10h,600,test,r_val,27.3
dev,HuBERT VP-20,11,10min,10,test,f1,60.25
dev,HuBERT VP-20,11,10min,10,test,per,110.6
dev,HuBERT VP-20,11,10min,10,test,pnmi,52.7
dev,HuBERT VP-20,11,10min,10,test,r_val,18.32
dev,HuBERT VP-20,11,1h,60,test,f1,61.64
dev,HuBERT VP-20,11,1h,60,test,per,99.09
dev,HuBERT VP-20,11,1h,60,test,pnmi,55.41
dev,HuBERT VP-20,11,1h,60,test,r_val,25.65
dev,HuBERT VP-20,11,10h,600,dev,f1,61.2
dev,HuBERT VP-20,11,10h,600,dev,per,96.92
dev,HuBERT VP-20,11,10h,600,dev,pnmi,55.94
dev,HuBERT VP-20,11,10h,600,dev,r_val,28.42
dev,HuBERT VP-20,11,10min,10,dev,f1,59.73
dev,HuBERT VP-20,11,10min,10,dev,per,104.47
dev,HuBERT VP-20,11,10min,10,dev,pnmi,52.42
dev,HuBERT VP-20,11,10min,10,dev,r_val,23.66
dev,HuBERT VP-20,11,1h,60,dev,f1,60.23
dev,HuBERT VP-20,11,1h,60,dev,per,100.44
dev,HuBERT VP-20,11,1h,60,dev,pnmi,53.46
dev,HuBERT VP-20,11,1h,60,dev,r_val,26.87
dev,HuBERT VP-20,11,0,1,test,f1,58.86
dev,HuBERT VP-20,11,0,1,test,per,125.48
dev,HuBERT VP-20,11,0,1,test,pnmi,49.07
dev,HuBERT VP-20,11,0,1,test,r_val,10.92
dev,HuBERT VP-20,11,0,1,dev,f1,58.52
dev,HuBERT VP-20,11,0,1,dev,per,119.09
dev,HuBERT VP-20,11,0,1,dev,pnmi,48.38
dev,HuBERT VP-20,11,0,1,dev,r_val,17.24
