split,model,layer,duration,duration_val,language,test_split,metric,score
dev,HuBERT MMS-ulab,1,10h,600,cmn,test,f1,47.19
dev,HuBERT MMS-ulab,1,10h,600,cmn,test,per,211.3
dev,HuBERT MMS-ulab,1,10h,600,cmn,test,pnmi,43.22
dev,HuBERT MMS-ulab,1,10h,600,cmn,test,r_val,-53.57
dev,HuBERT MMS-ulab,2,10h,600,cmn,test,f1,46.77
dev,HuBERT MMS-ulab,2,10h,600,cmn,test,per,220.04
dev,HuBERT MMS-ulab,2,10h,600,cmn,test,pnmi,44.15
dev,HuBERT MMS-ulab,2,10h,600,cmn,test,r_val,-63.34
dev,HuBERT MMS-ulab,3,10h,600,cmn,test,f1,49.65
dev,HuBERT MMS-ulab,3,10h,600,cmn,test,per,188.54
dev,HuBERT MMS-ulab,3,10h,600,cmn,test,pnmi,47.49
dev,HuBERT MMS-ulab,3,10h,600,cmn,test,r_val,-39.9
dev,HuBERT MMS-ulab,4,10h,600,cmn,test,f1,50.23
dev,HuBERT MMS-ulab,4,10h,600,cmn,test,per,175.45
dev,HuBERT MMS-ulab,4,10h,600,cmn,test,pnmi,48.9
dev,HuBERT MMS-ulab,4,10h,600,cmn,test,r_val,-32.34
dev,HuBERT MMS-ulab,5,10h,600,cmn,test,f1,51.05
dev,HuBERT MMS-ulab,5,10h,600,cmn,test,per,169.74
dev,HuBERT MMS-ulab,5,10h,600,cmn,test,pnmi,51.15
dev,HuBERT MMS-ulab,5,10h,600,cmn,test,r_val,-29.6
dev,HuBERT MMS-ulab,6,10h,600,cmn,test,f1,53.72
dev,HuBERT MMS-ulab,6,10h,600,cmn,test,per,145.04
dev,HuBERT MMS-ulab,6,10h,600,cmn,test,pnmi,57.7
dev,HuBERT MMS-ulab,6,10h,600,cmn,test,r_val,-14.46
dev,HuBERT MMS-ulab,7,10h,600,cmn,test,f1,54.45
dev,HuBERT MMS-ulab,7,10h,600,cmn,test,per,128.04
dev,HuBERT MMS-ulab,7,10h,600,cmn,test,pnmi,58.35
dev,HuBERT MMS-ulab,7,10h,600,cmn,test,r_val,-2.92
dev,HuBERT MMS-ulab,8,10h,600,cmn,test,f1,52.46
dev,HuBERT MMS-ulab,8,10h,600,cmn,test,per,128.44
dev,HuBERT MMS-ulab,8,10h,600,cmn,test,pnmi,57.71
dev,HuBERT MMS-ulab,8,10h,600,cmn,test,r_val,-3.75
dev,HuBERT MMS-ulab,9,10h,600,cmn,test,f1,54.71
dev,HuBERT MMS-ulab,9,10h,600,cmn,test,per,133.79
dev,HuBERT MMS-ulab,9,10h,600,cmn,test,pnmi,59.98
dev,HuBERT MMS-ulab,9,10h,600,cmn,test,r_val,-8.56
dev,HuBERT MMS-ulab,10,10h,600,cmn,test,f1,54.6
dev,HuBERT MMS-ulab,10,10h,600,cmn,test,per,127.53
dev,HuBERT MMS-ulab,10,10h,600,cmn,test,pnmi,60.48
dev,HuBERT MMS-ulab,10,10h,600,cmn,test,r_val,-4.36
dev,HuBERT MMS-ulab,11,10h,600,cmn,test,f1,52.43
dev,HuBERT MMS-ulab,11,10h,600,cmn,test,per,154.14
dev,HuBERT MMS-ulab,11,10h,600,cmn,test,pnmi,55.69
dev,HuBERT MMS-ulab,11,10h,600,cmn,test,r_val,-21.21
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,f1,52.84
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,per,149.83
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,pnmi,52.33
dev,HuBERT MMS-ulab,12,10h,600,cmn,test,r_val,-13.34
dev,HuBERT MMS-ulab,1,10min,10,cmn,test,f1,47.49
dev,HuBERT MMS-ulab,1,10min,10,cmn,test,per,210.9
dev,HuBERT MMS-ulab,1,10min,10,cmn,test,pnmi,41.36
dev,HuBERT MMS-ulab,1,10min,10,cmn,test,r_val,-50.84
dev,HuBERT MMS-ulab,2,10min,10,cmn,test,f1,47.26
dev,HuBERT MMS-ulab,2,10min,10,cmn,test,per,213.96
dev,HuBERT MMS-ulab,2,10min,10,cmn,test,pnmi,43.68
dev,HuBERT MMS-ulab,2,10min,10,cmn,test,r_val,-57.42
dev,HuBERT MMS-ulab,3,10min,10,cmn,test,f1,49.37
dev,HuBERT MMS-ulab,3,10min,10,cmn,test,per,194.84
dev,HuBERT MMS-ulab,3,10min,10,cmn,test,pnmi,46.28
dev,HuBERT MMS-ulab,3,10min,10,cmn,test,r_val,-42.71
dev,HuBERT MMS-ulab,4,10min,10,cmn,test,f1,50.75
dev,HuBERT MMS-ulab,4,10min,10,cmn,test,per,173.31
dev,HuBERT MMS-ulab,4,10min,10,cmn,test,pnmi,48.45
dev,HuBERT MMS-ulab,4,10min,10,cmn,test,r_val,-27.55
dev,HuBERT MMS-ulab,5,10min,10,cmn,test,f1,52.87
dev,HuBERT MMS-ulab,5,10min,10,cmn,test,per,162.96
dev,HuBERT MMS-ulab,5,10min,10,cmn,test,pnmi,49.05
dev,HuBERT MMS-ulab,5,10min,10,cmn,test,r_val,-17.82
dev,HuBERT MMS-ulab,6,10min,10,cmn,test,f1,53.58
dev,HuBERT MMS-ulab,6,10min,10,cmn,test,per,142.98
dev,HuBERT MMS-ulab,6,10min,10,cmn,test,pnmi,52.39
dev,HuBERT MMS-ulab,6,10min,10,cmn,test,r_val,-6.35
dev,HuBERT MMS-ulab,7,10min,10,cmn,test,f1,53.75
dev,HuBERT MMS-ulab,7,10min,10,cmn,test,per,135.32
dev,HuBERT MMS-ulab,7,10min,10,cmn,test,pnmi,53.59
dev,HuBERT MMS-ulab,7,10min,10,cmn,test,r_val,-1.84
dev,HuBERT MMS-ulab,8,10min,10,cmn,test,f1,53.06
dev,HuBERT MMS-ulab,8,10min,10,cmn,test,per,136.41
dev,HuBERT MMS-ulab,8,10min,10,cmn,test,pnmi,52.95
dev,HuBERT MMS-ulab,8,10min,10,cmn,test,r_val,-1.69
dev,HuBERT MMS-ulab,9,10min,10,cmn,test,f1,52.3
dev,HuBERT MMS-ulab,9,10min,10,cmn,test,per,148.17
dev,HuBERT MMS-ulab,9,10min,10,cmn,test,pnmi,51.1
dev,HuBERT MMS-ulab,9,10min,10,cmn,test,r_val,-12.0
dev,HuBERT MMS-ulab,10,10min,10,cmn,test,f1,51.74
dev,HuBERT MMS-ulab,10,10min,10,cmn,test,per,152.06
dev,HuBERT MMS-ulab,10,10min,10,cmn,test,pnmi,54.18
dev,HuBERT MMS-ulab,10,10min,10,cmn,test,r_val,-18.61
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,f1,51.67
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,per,165.59
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,pnmi,54.35
dev,HuBERT MMS-ulab,11,10min,10,cmn,test,r_val,-27.85
dev,HuBERT MMS-ulab,12,10min,10,cmn,test,f1,49.62
dev,HuBERT MMS-ulab,12,10min,10,cmn,test,per,183.47
dev,HuBERT MMS-ulab,12,10min,10,cmn,test,pnmi,46.9
dev,HuBERT MMS-ulab,12,10min,10,cmn,test,r_val,-40.11
dev,HuBERT MMS-ulab,1,1h,60,cmn,test,f1,46.81
dev,HuBERT MMS-ulab,1,1h,60,cmn,test,per,215.69
dev,HuBERT MMS-ulab,1,1h,60,cmn,test,pnmi,42.79
dev,HuBERT MMS-ulab,1,1h,60,cmn,test,r_val,-56.86
dev,HuBERT MMS-ulab,2,1h,60,cmn,test,f1,47.39
dev,HuBERT MMS-ulab,2,1h,60,cmn,test,per,214.78
dev,HuBERT MMS-ulab,2,1h,60,cmn,test,pnmi,43.53
dev,HuBERT MMS-ulab,2,1h,60,cmn,test,r_val,-57.08
dev,HuBERT MMS-ulab,3,1h,60,cmn,test,f1,48.77
dev,HuBERT MMS-ulab,3,1h,60,cmn,test,per,193.31
dev,HuBERT MMS-ulab,3,1h,60,cmn,test,pnmi,46.16
dev,HuBERT MMS-ulab,3,1h,60,cmn,test,r_val,-42.77
dev,HuBERT MMS-ulab,4,1h,60,cmn,test,f1,50.51
dev,HuBERT MMS-ulab,4,1h,60,cmn,test,per,172.05
dev,HuBERT MMS-ulab,4,1h,60,cmn,test,pnmi,48.81
dev,HuBERT MMS-ulab,4,1h,60,cmn,test,r_val,-27.67
dev,HuBERT MMS-ulab,5,1h,60,cmn,test,f1,51.73
dev,HuBERT MMS-ulab,5,1h,60,cmn,test,per,163.9
dev,HuBERT MMS-ulab,5,1h,60,cmn,test,pnmi,50.88
dev,HuBERT MMS-ulab,5,1h,60,cmn,test,r_val,-23.54
dev,HuBERT MMS-ulab,6,1h,60,cmn,test,f1,53.5
dev,HuBERT MMS-ulab,6,1h,60,cmn,test,per,137.25
dev,HuBERT MMS-ulab,6,1h,60,cmn,test,pnmi,55.12
dev,HuBERT MMS-ulab,6,1h,60,cmn,test,r_val,-5.56
dev,HuBERT MMS-ulab,7,1h,60,cmn,test,f1,55.01
dev,HuBERT MMS-ulab,7,1h,60,cmn,test,per,130.21
dev,HuBERT MMS-ulab,7,1h,60,cmn,test,pnmi,55.97
dev,HuBERT MMS-ulab,7,1h,60,cmn,test,r_val,1.37
dev,HuBERT MMS-ulab,8,1h,60,cmn,test,f1,54.51
dev,HuBERT MMS-ulab,8,1h,60,cmn,test,per,126.72
dev,HuBERT MMS-ulab,8,1h,60,cmn,test,pnmi,56.55
dev,HuBERT MMS-ulab,8,1h,60,cmn,test,r_val,2.83
dev,HuBERT MMS-ulab,9,1h,60,cmn,test,f1,53.51
dev,HuBERT MMS-ulab,9,1h,60,cmn,test,per,134.15
dev,HuBERT MMS-ulab,9,1h,60,cmn,test,pnmi,55.41
dev,HuBERT MMS-ulab,9,1h,60,cmn,test,r_val,-4.46
dev,HuBERT MMS-ulab,10,1h,60,cmn,test,f1,53.3
dev,HuBERT MMS-ulab,10,1h,60,cmn,test,per,138.99
dev,HuBERT MMS-ulab,10,1h,60,cmn,test,pnmi,56.59
dev,HuBERT MMS-ulab,10,1h,60,cmn,test,r_val,-8.52
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,f1,51.53
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,per,154.51
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,pnmi,54.21
dev,HuBERT MMS-ulab,11,1h,60,cmn,test,r_val,-21.71
dev,HuBERT MMS-ulab,12,1h,60,cmn,test,f1,50.39
dev,HuBERT MMS-ulab,12,1h,60,cmn,test,per,170.88
dev,HuBERT MMS-ulab,12,1h,60,cmn,test,pnmi,48.97
dev,HuBERT MMS-ulab,12,1h,60,cmn,test,r_val,-30.97
dev,HuBERT MMS-ulab,1,10h,600,deu,dev,f1,57.69
dev,HuBERT MMS-ulab,1,10h,600,deu,dev,per,147.41
dev,HuBERT MMS-ulab,1,10h,600,deu,dev,pnmi,41.35
dev,HuBERT MMS-ulab,1,10h,600,deu,dev,r_val,2.17
dev,HuBERT MMS-ulab,2,10h,600,deu,dev,f1,55.55
dev,HuBERT MMS-ulab,2,10h,600,deu,dev,per,164.5
dev,HuBERT MMS-ulab,2,10h,600,deu,dev,pnmi,41.61
dev,HuBERT MMS-ulab,2,10h,600,deu,dev,r_val,-13.05
dev,HuBERT MMS-ulab,3,10h,600,deu,dev,f1,57.04
dev,HuBERT MMS-ulab,3,10h,600,deu,dev,per,152.55
dev,HuBERT MMS-ulab,3,10h,600,deu,dev,pnmi,45.74
dev,HuBERT MMS-ulab,3,10h,600,deu,dev,r_val,-6.78
dev,HuBERT MMS-ulab,4,10h,600,deu,dev,f1,57.62
dev,HuBERT MMS-ulab,4,10h,600,deu,dev,per,138.84
dev,HuBERT MMS-ulab,4,10h,600,deu,dev,pnmi,45.72
dev,HuBERT MMS-ulab,4,10h,600,deu,dev,r_val,2.49
dev,HuBERT MMS-ulab,5,10h,600,deu,dev,f1,58.53
dev,HuBERT MMS-ulab,5,10h,600,deu,dev,per,135.4
dev,HuBERT MMS-ulab,5,10h,600,deu,dev,pnmi,48.04
dev,HuBERT MMS-ulab,5,10h,600,deu,dev,r_val,4.58
dev,HuBERT MMS-ulab,6,10h,600,deu,dev,f1,60.79
dev,HuBERT MMS-ulab,6,10h,600,deu,dev,per,118.73
dev,HuBERT MMS-ulab,6,10h,600,deu,dev,pnmi,51.91
dev,HuBERT MMS-ulab,6,10h,600,deu,dev,r_val,15.02
dev,HuBERT MMS-ulab,7,10h,600,deu,dev,f1,60.58
dev,HuBERT MMS-ulab,7,10h,600,deu,dev,per,109.93
dev,HuBERT MMS-ulab,7,10h,600,deu,dev,pnmi,53.07
dev,HuBERT MMS-ulab,7,10h,600,deu,dev,r_val,19.34
dev,HuBERT MMS-ulab,8,10h,600,deu,dev,f1,61.37
dev,HuBERT MMS-ulab,8,10h,600,deu,dev,per,97.0
dev,HuBERT MMS-ulab,8,10h,600,deu,dev,pnmi,54.0
dev,HuBERT MMS-ulab,8,10h,600,deu,dev,r_val,28.91
dev,HuBERT MMS-ulab,9,10h,600,deu,dev,f1,61.7
dev,HuBERT MMS-ulab,9,10h,600,deu,dev,per,98.39
dev,HuBERT MMS-ulab,9,10h,600,deu,dev,pnmi,54.21
dev,HuBERT MMS-ulab,9,10h,600,deu,dev,r_val,25.42
dev,HuBERT MMS-ulab,10,10h,600,deu,dev,f1,61.86
dev,HuBERT MMS-ulab,10,10h,600,deu,dev,per,108.39
dev,HuBERT MMS-ulab,10,10h,600,deu,dev,pnmi,53.64
dev,HuBERT MMS-ulab,10,10h,600,deu,dev,r_val,20.43
dev,HuBERT MMS-ulab,11,10h,600,deu,dev,f1,59.88
dev,HuBERT MMS-ulab,11,10h,600,deu,dev,per,118.93
dev,HuBERT MMS-ulab,11,10h,600,deu,dev,pnmi,52.18
dev,HuBERT MMS-ulab,11,10h,600,deu,dev,r_val,12.55
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,f1,59.39
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,per,123.51
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,pnmi,48.36
dev,HuBERT MMS-ulab,12,10h,600,deu,dev,r_val,11.91
dev,HuBERT MMS-ulab,1,10min,10,deu,dev,f1,57.26
dev,HuBERT MMS-ulab,1,10min,10,deu,dev,per,154.22
dev,HuBERT MMS-ulab,1,10min,10,deu,dev,pnmi,40.74
dev,HuBERT MMS-ulab,1,10min,10,deu,dev,r_val,-2.42
dev,HuBERT MMS-ulab,2,10min,10,deu,dev,f1,56.11
dev,HuBERT MMS-ulab,2,10min,10,deu,dev,per,160.34
dev,HuBERT MMS-ulab,2,10min,10,deu,dev,pnmi,41.45
dev,HuBERT MMS-ulab,2,10min,10,deu,dev,r_val,-8.44
dev,HuBERT MMS-ulab,3,10min,10,deu,dev,f1,57.27
dev,HuBERT MMS-ulab,3,10min,10,deu,dev,per,149.17
dev,HuBERT MMS-ulab,3,10min,10,deu,dev,pnmi,45.82
dev,HuBERT MMS-ulab,3,10min,10,deu,dev,r_val,-4.53
dev,HuBERT MMS-ulab,4,10min,10,deu,dev,f1,58.7
dev,HuBERT MMS-ulab,4,10min,10,deu,dev,per,139.58
dev,HuBERT MMS-ulab,4,10min,10,deu,dev,pnmi,45.35
dev,HuBERT MMS-ulab,4,10min,10,deu,dev,r_val,4.75
dev,HuBERT MMS-ulab,5,10min,10,deu,dev,f1,59.33
dev,HuBERT MMS-ulab,5,10min,10,deu,dev,per,130.79
dev,HuBERT MMS-ulab,5,10min,10,deu,dev,pnmi,46.09
dev,HuBERT MMS-ulab,5,10min,10,deu,dev,r_val,11.44
dev,HuBERT MMS-ulab,6,10min,10,deu,dev,f1,60.63
dev,HuBERT MMS-ulab,6,10min,10,deu,dev,per,115.23
dev,HuBERT MMS-ulab,6,10min,10,deu,dev,pnmi,49.19
dev,HuBERT MMS-ulab,6,10min,10,deu,dev,r_val,19.69
dev,HuBERT MMS-ulab,7,10min,10,deu,dev,f1,61.81
dev,HuBERT MMS-ulab,7,10min,10,deu,dev,per,107.57
dev,HuBERT MMS-ulab,7,10min,10,deu,dev,pnmi,51.26
dev,HuBERT MMS-ulab,7,10min,10,deu,dev,r_val,25.11
dev,HuBERT MMS-ulab,8,10min,10,deu,dev,f1,61.57
dev,HuBERT MMS-ulab,8,10min,10,deu,dev,per,100.52
dev,HuBERT MMS-ulab,8,10min,10,deu,dev,pnmi,51.45
