split,model,layer,duration,duration_val,test_split,metric,score
dev,HuBERT MMS-ulab,1,10h,600,test,f1,55.38
dev,HuBERT MMS-ulab,1,10h,600,test,per,160.22
dev,HuBERT MMS-ulab,1,10h,600,test,pnmi,44.25
dev,HuBERT MMS-ulab,1,10h,600,test,r_val,-12.01
dev,HuBERT MMS-ulab,2,10h,600,test,f1,54.67
dev,HuBERT MMS-ulab,2,10h,600,test,per,166.06
dev,HuBERT MMS-ulab,2,10h,600,test,pnmi,44.83
dev,HuBERT MMS-ulab,2,10h,600,test,r_val,-19.02
dev,HuBERT MMS-ulab,3,10h,600,test,f1,56.96
dev,HuBERT MMS-ulab,3,10h,600,test,per,146.51
dev,HuBERT MMS-ulab,3,10h,600,test,pnmi,48.28
dev,HuBERT MMS-ulab,3,10h,600,test,r_val,-4.71
dev,HuBERT MMS-ulab,4,10h,600,test,f1,58.01
dev,HuBERT MMS-ulab,4,10h,600,test,per,134.32
dev,HuBERT MMS-ulab,4,10h,600,test,pnmi,49.81
dev,HuBERT MMS-ulab,4,10h,600,test,r_val,2.65
dev,HuBERT MMS-ulab,5,10h,600,test,f1,59.28
dev,HuBERT MMS-ulab,5,10h,600,test,per,126.37
dev,HuBERT MMS-ulab,5,10h,600,test,pnmi,52.35
dev,HuBERT MMS-ulab,5,10h,600,test,r_val,7.18
dev,HuBERT MMS-ulab,6,10h,600,test,f1,61.59
dev,HuBERT MMS-ulab,6,10h,600,test,per,108.54
dev,HuBERT MMS-ulab,6,10h,600,test,pnmi,56.97
dev,HuBERT MMS-ulab,6,10h,600,test,r_val,18.66
dev,HuBERT MMS-ulab,7,10h,600,test,f1,63.39
dev,HuBERT MMS-ulab,7,10h,600,test,per,94.78
dev,HuBERT MMS-ulab,7,10h,600,test,pnmi,58.42
dev,HuBERT MMS-ulab,7,10h,600,test,r_val,28.29
dev,HuBERT MMS-ulab,8,10h,600,test,f1,62.51
dev,HuBERT MMS-ulab,8,10h,600,test,per,89.37
dev,HuBERT MMS-ulab,8,10h,600,test,pnmi,58.1
dev,HuBERT MMS-ulab,8,10h,600,test,r_val,31.26
dev,HuBERT MMS-ulab,9,10h,600,test,f1,61.84
dev,HuBERT MMS-ulab,9,10h,600,test,per,95.5
dev,HuBERT MMS-ulab,9,10h,600,test,pnmi,58.46
dev,HuBERT MMS-ulab,9,10h,600,test,r_val,26.19
dev,HuBERT MMS-ulab,10,10h,600,test,f1,62.57
dev,HuBERT MMS-ulab,10,10h,600,test,per,97.62
dev,HuBERT MMS-ulab,10,10h,600,test,pnmi,59.33
dev,HuBERT MMS-ulab,10,10h,600,test,r_val,24.06
dev,HuBERT MMS-ulab,11,10h,600,test,f1,60.85
dev,HuBERT MMS-ulab,11,10h,600,test,per,109.43
dev,HuBERT MMS-ulab,11,10h,600,test,pnmi,56.99
dev,HuBERT MMS-ulab,11,10h,600,test,r_val,16.62
dev,HuBERT MMS-ulab,12,10h,600,test,f1,60.37
dev,HuBERT MMS-ulab,12,10h,600,test,per,110.04
dev,HuBERT MMS-ulab,12,10h,600,test,pnmi,54.07
dev,HuBERT MMS-ulab,12,10h,600,test,r_val,18.85
dev,HuBERT MMS-ulab,1,10min,10,test,f1,55.09
dev,HuBERT MMS-ulab,1,10min,10,test,per,161.41
dev,HuBERT MMS-ulab,1,10min,10,test,pnmi,43.44
dev,HuBERT MMS-ulab,1,10min,10,test,r_val,-12.58
dev,HuBERT MMS-ulab,2,10min,10,test,f1,54.75
dev,HuBERT MMS-ulab,2,10min,10,test,per,163.09
dev,HuBERT MMS-ulab,2,10min,10,test,pnmi,44.57
dev,HuBERT MMS-ulab,2,10min,10,test,r_val,-15.74
dev,HuBERT MMS-ulab,3,10min,10,test,f1,56.68
dev,HuBERT MMS-ulab,3,10min,10,test,per,149.77
dev,HuBERT MMS-ulab,3,10min,10,test,pnmi,47.43
dev,HuBERT MMS-ulab,3,10min,10,test,r_val,-6.66
dev,HuBERT MMS-ulab,4,10min,10,test,f1,57.74
dev,HuBERT MMS-ulab,4,10min,10,test,per,135.26
dev,HuBERT MMS-ulab,4,10min,10,test,pnmi,48.96
dev,HuBERT MMS-ulab,4,10min,10,test,r_val,3.27
dev,HuBERT MMS-ulab,5,10min,10,test,f1,59.79
dev,HuBERT MMS-ulab,5,10min,10,test,per,124.63
dev,HuBERT MMS-ulab,5,10min,10,test,pnmi,50.54
dev,HuBERT MMS-ulab,5,10min,10,test,r_val,11.97
dev,HuBERT MMS-ulab,6,10min,10,test,f1,60.82
dev,HuBERT MMS-ulab,6,10min,10,test,per,110.5
dev,HuBERT MMS-ulab,6,10min,10,test,pnmi,53.24
dev,HuBERT MMS-ulab,6,10min,10,test,r_val,20.6
dev,HuBERT MMS-ulab,7,10min,10,test,f1,61.66
dev,HuBERT MMS-ulab,7,10min,10,test,per,97.3
dev,HuBERT MMS-ulab,7,10min,10,test,pnmi,54.72
dev,HuBERT MMS-ulab,7,10min,10,test,r_val,29.27
dev,HuBERT MMS-ulab,8,10min,10,test,f1,60.67
dev,HuBERT MMS-ulab,8,10min,10,test,per,96.59
dev,HuBERT MMS-ulab,8,10min,10,test,pnmi,53.79
dev,HuBERT MMS-ulab,8,10min,10,test,r_val,29.21
dev,HuBERT MMS-ulab,9,10min,10,test,f1,59.69
dev,HuBERT MMS-ulab,9,10min,10,test,per,108.68
dev,HuBERT MMS-ulab,9,10min,10,test,pnmi,51.87
dev,HuBERT MMS-ulab,9,10min,10,test,r_val,20.84
dev,HuBERT MMS-ulab,10,10min,10,test,f1,59.03
dev,HuBERT MMS-ulab,10,10min,10,test,per,114.1
dev,HuBERT MMS-ulab,10,10min,10,test,pnmi,53.93
dev,HuBERT MMS-ulab,10,10min,10,test,r_val,13.88
dev,HuBERT MMS-ulab,11,10min,10,test,f1,58.97
dev,HuBERT MMS-ulab,11,10min,10,test,per,120.92
dev,HuBERT MMS-ulab,11,10min,10,test,pnmi,54.3
dev,HuBERT MMS-ulab,11,10min,10,test,r_val,8.35
dev,HuBERT MMS-ulab,12,10min,10,test,f1,56.4
dev,HuBERT MMS-ulab,12,10min,10,test,per,136.99
dev,HuBERT MMS-ulab,12,10min,10,test,pnmi,48.44
dev,HuBERT MMS-ulab,12,10min,10,test,r_val,-2.77
dev,HuBERT MMS-ulab,1,1h,60,test,f1,55.53
dev,HuBERT MMS-ulab,1,1h,60,test,per,159.1
dev,HuBERT MMS-ulab,1,1h,60,test,pnmi,43.96
dev,HuBERT MMS-ulab,1,1h,60,test,r_val,-10.85
dev,HuBERT MMS-ulab,2,1h,60,test,f1,55.25
dev,HuBERT MMS-ulab,2,1h,60,test,per,161.95
dev,HuBERT MMS-ulab,2,1h,60,test,pnmi,44.42
dev,HuBERT MMS-ulab,2,1h,60,test,r_val,-14.54
dev,HuBERT MMS-ulab,3,1h,60,test,f1,56.69
dev,HuBERT MMS-ulab,3,1h,60,test,per,148.66
dev,HuBERT MMS-ulab,3,1h,60,test,pnmi,47.94
dev,HuBERT MMS-ulab,3,1h,60,test,r_val,-6.21
dev,HuBERT MMS-ulab,4,1h,60,test,f1,58.52
dev,HuBERT MMS-ulab,4,1h,60,test,per,131.0
dev,HuBERT MMS-ulab,4,1h,60,test,pnmi,49.62
dev,HuBERT MMS-ulab,4,1h,60,test,r_val,6.83
dev,HuBERT MMS-ulab,5,1h,60,test,f1,59.53
dev,HuBERT MMS-ulab,5,1h,60,test,per,123.07
dev,HuBERT MMS-ulab,5,1h,60,test,pnmi,51.57
dev,HuBERT MMS-ulab,5,1h,60,test,r_val,11.42
dev,HuBERT MMS-ulab,6,1h,60,test,f1,61.4
dev,HuBERT MMS-ulab,6,1h,60,test,per,104.31
dev,HuBERT MMS-ulab,6,1h,60,test,pnmi,55.32
dev,HuBERT MMS-ulab,6,1h,60,test,r_val,23.03
dev,HuBERT MMS-ulab,7,1h,60,test,f1,62.36
dev,HuBERT MMS-ulab,7,1h,60,test,per,94.75
dev,HuBERT MMS-ulab,7,1h,60,test,pnmi,56.19
dev,HuBERT MMS-ulab,7,1h,60,test,r_val,30.25
dev,HuBERT MMS-ulab,8,1h,60,test,f1,61.48
dev,HuBERT MMS-ulab,8,1h,60,test,per,86.37
dev,HuBERT MMS-ulab,8,1h,60,test,pnmi,56.14
dev,HuBERT MMS-ulab,8,1h,60,test,r_val,35.6
dev,HuBERT MMS-ulab,9,1h,60,test,f1,60.86
dev,HuBERT MMS-ulab,9,1h,60,test,per,96.53
dev,HuBERT MMS-ulab,9,1h,60,test,pnmi,54.62
dev,HuBERT MMS-ulab,9,1h,60,test,r_val,28.59
dev,HuBERT MMS-ulab,10,1h,60,test,f1,60.53
dev,HuBERT MMS-ulab,10,1h,60,test,per,105.98
dev,HuBERT MMS-ulab,10,1h,60,test,pnmi,55.71
dev,HuBERT MMS-ulab,10,1h,60,test,r_val,20.1
dev,HuBERT MMS-ulab,11,1h,60,test,f1,59.84
dev,HuBERT MMS-ulab,11,1h,60,test,per,112.95
dev,HuBERT MMS-ulab,11,1h,60,test,pnmi,55.35
dev,HuBERT MMS-ulab,11,1h,60,test,r_val,14.15
dev,HuBERT MMS-ulab,12,1h,60,test,f1,57.44
dev,HuBERT MMS-ulab,12,1h,60,test,per,126.75
dev,HuBERT MMS-ulab,12,1h,60,test,pnmi,50.16
dev,HuBERT MMS-ulab,12,1h,60,test,r_val,5.22
dev,HuBERT MMS-ulab,1,10h,600,dev,f1,54.57
dev,HuBERT MMS-ulab,1,10h,600,dev,per,152.54
dev,HuBERT MMS-ulab,1,10h,600,dev,pnmi,43.58
dev,HuBERT MMS-ulab,1,10h,600,dev,r_val,-4.26
dev,HuBERT MMS-ulab,2,10h,600,dev,f1,54.17
dev,HuBERT MMS-ulab,2,10h,600,dev,per,156.79
dev,HuBERT MMS-ulab,2,10h,600,dev,pnmi,44.38
dev,HuBERT MMS-ulab,2,10h,600,dev,r_val,-10.2
dev,HuBERT MMS-ulab,3,10h,600,dev,f1,56.32
dev,HuBERT MMS-ulab,3,10h,600,dev,per,142.56
dev,HuBERT MMS-ulab,3,10h,600,dev,pnmi,48.4
dev,HuBERT MMS-ulab,3,10h,600,dev,r_val,-1.34
dev,HuBERT MMS-ulab,4,10h,600,dev,f1,56.94
dev,HuBERT MMS-ulab,4,10h,600,dev,per,132.47
dev,HuBERT MMS-ulab,4,10h,600,dev,pnmi,48.83
dev,HuBERT MMS-ulab,4,10h,600,dev,r_val,5.47
dev,HuBERT MMS-ulab,5,10h,600,dev,f1,58.53
dev,HuBERT MMS-ulab,5,10h,600,dev,per,122.29
dev,HuBERT MMS-ulab,5,10h,600,dev,pnmi,51.29
dev,HuBERT MMS-ulab,5,10h,600,dev,r_val,12.72
dev,HuBERT MMS-ulab,6,10h,600,dev,f1,60.43
dev,HuBERT MMS-ulab,6,10h,600,dev,per,109.01
dev,HuBERT MMS-ulab,6,10h,600,dev,pnmi,55.27
dev,HuBERT MMS-ulab,6,10h,600,dev,r_val,21.25
dev,HuBERT MMS-ulab,7,10h,600,dev,f1,60.92
dev,HuBERT MMS-ulab,7,10h,600,dev,per,97.83
dev,HuBERT MMS-ulab,7,10h,600,dev,pnmi,56.01
dev,HuBERT MMS-ulab,7,10h,600,dev,r_val,28.0
dev,HuBERT MMS-ulab,8,10h,600,dev,f1,61.12
dev,HuBERT MMS-ulab,8,10h,600,dev,per,90.46
dev,HuBERT MMS-ulab,8,10h,600,dev,pnmi,56.91
dev,HuBERT MMS-ulab,8,10h,600,dev,r_val,32.38
dev,HuBERT MMS-ulab,9,10h,600,dev,f1,60.04
dev,HuBERT MMS-ulab,9,10h,600,dev,per,100.22
dev,HuBERT MMS-ulab,9,10h,600,dev,pnmi,56.66
dev,HuBERT MMS-ulab,9,10h,600,dev,r_val,23.67
dev,HuBERT MMS-ulab,10,10h,600,dev,f1,60.01
dev,HuBERT MMS-ulab,10,10h,600,dev,per,104.38
dev,HuBERT MMS-ulab,10,10h,600,dev,pnmi,56.96
dev,HuBERT MMS-ulab,10,10h,600,dev,r_val,20.33
dev,HuBERT MMS-ulab,11,10h,600,dev,f1,58.7
dev,HuBERT MMS-ulab,11,10h,600,dev,per,112.83
dev,HuBERT MMS-ulab,11,10h,600,dev,pnmi,55.12
dev,HuBERT MMS-ulab,11,10h,600,dev,r_val,14.62
dev,HuBERT MMS-ulab,12,10h,600,dev,f1,58.3
dev,HuBERT MMS-ulab,12,10h,600,dev,per,112.25
dev,HuBERT MMS-ulab,12,10h,600,dev,pnmi,52.38
dev,HuBERT MMS-ulab,12,10h,600,dev,r_val,17.41
dev,HuBERT MMS-ulab,1,10min,10,dev,f1,54.05
dev,HuBERT MMS-ulab,1,10min,10,dev,per,153.45
dev,HuBERT MMS-ulab,1,10min,10,dev,pnmi,42.36
dev,HuBERT MMS-ulab,1,10min,10,dev,r_val,-4.04
dev,HuBERT MMS-ulab,2,10min,10,dev,f1,54.06
